K,n_features,layer,host_norm,forged_norm,norm_ratio,decoded_rel_err,decoded_cosine,via_host_kl
25,34,0,4.716088771820068,1.1742006540298462,0.2489776403374803,0.9752950668334961,0.22007609903812408,11.952911376953125
25,34,1,53.183753967285156,21.38041114807129,0.40201019208277383,0.9957314133644104,0.20729440450668335,13.759367942810059
25,34,2,61.528839111328125,28.329294204711914,0.46042302461539836,1.000535249710083,0.2528431713581085,12.345016479492188
25,34,3,73.94725036621094,56.38069534301758,0.7624447841373676,1.290358543395996,0.30064523220062256,11.527095794677734
25,34,4,79.68624877929688,60.892601013183594,0.7641544425291604,1.2796353101730347,0.3103366196155548,11.719305992126465
25,34,5,84.9709243774414,62.813690185546875,0.7392374585279083,1.2353973388671875,0.3088034689426422,11.88503360748291
25,34,6,91.89250946044922,64.43449401855469,0.7011941930510394,1.1697697639465332,0.3219679296016693,11.80695915222168
25,34,7,101.00829315185547,68.09854125976562,0.674187624944682,1.1046736240386963,0.33757129311561584,12.257194519042969
25,34,8,115.00942993164062,70.14217376708984,0.6098819358445737,1.0333057641983032,0.3547753095626831,12.39006233215332
25,34,9,135.61497497558594,72.944580078125,0.5378799803727932,0.9831007719039917,0.3659166097640991,12.639898300170898
25,34,10,164.9721221923828,76.64214324951172,0.4645763310247971,0.945141613483429,0.3878958225250244,12.625536918640137
25,34,11,233.67503356933594,81.60769653320312,0.34923583956173276,0.8860177993774414,0.4665299355983734,11.497526168823242
25,34,12,234.53164672851562,68.19367218017578,0.2907653322330271,1.0595861673355103,0.08496550470590591,5.627675533294678
25,34,13,473.5535583496094,10.718708992004395,0.02263462876165554,0.997162938117981,0.12717999517917633,7.735780715942383
103,177,0,4.716088771820068,3.1046926975250244,0.6583193929843772,0.8740606307983398,0.48514723777770996,3.164862632751465
103,177,1,53.183753967285156,155.1138153076172,2.9165638702945285,2.9256532192230225,0.30960601568222046,11.877777099609375
103,177,2,61.528839111328125,218.27313232421875,3.547493102044116,3.8951666355133057,0.3460191488265991,10.49609375
103,177,3,73.94725036621094,408.20751953125,5.520252849290177,6.945796966552734,0.3737579584121704,10.102640151977539
103,177,4,79.68624877929688,517.1167602539062,6.489410258050161,8.103508949279785,0.38420936465263367,10.251025199890137
103,177,5,84.9709243774414,577.1727294921875,6.792590921200085,8.447005271911621,0.38504502177238464,10.28515338897705
103,177,6,91.89250946044922,600.4503173828125,6.534268363203727,7.950958251953125,0.4004090428352356,10.15715503692627
103,177,7,101.00829315185547,624.3646850585938,6.181321014106499,7.385472297668457,0.4189569354057312,10.30078411102295
103,177,8,115.00942993164062,633.7777099609375,5.510658650665799,6.39125919342041,0.4326501786708832,10.350082397460938
103,177,9,135.61497497558594,636.7268676757812,4.695107363994337,5.297065734863281,0.43723639845848083,10.53786563873291
103,177,10,164.9721221923828,647.5639038085938,3.9252929234518477,4.236420154571533,0.4372529983520508,10.99809741973877
103,177,11,233.67503356933594,685.1829833984375,2.932204493276045,3.1415646076202393,0.509111225605011,10.138656616210938
103,177,12,234.53164672851562,852.7053833007812,3.6357796280168477,5.340712070465088,0.049156904220581055,2.8470938205718994
103,177,13,473.5535583496094,46.30028533935547,0.09777201442792972,1.0027384757995605,0.030003465712070465,11.68414306640625
163,287,0,4.716088771820068,4.642691612243652,0.9844368579287599,0.7947288155555725,0.6063195466995239,2.0177969932556152
163,287,1,53.183753967285156,446.0080261230469,8.38617045343206,5.825842380523682,0.29288938641548157,13.561732292175293
163,287,2,61.528839111328125,491.34423828125,7.985592534782413,6.213779449462891,0.34655439853668213,11.868573188781738
163,287,3,73.94725036621094,704.3338623046875,9.524814767507868,9.30061149597168,0.4023357927799225,9.762617111206055
163,287,4,79.68624877929688,817.4927978515625,10.258894230493048,10.339435577392578,0.4182456135749817,9.64594841003418
163,287,5,84.9709243774414,914.4052734375,10.761390206557078,10.949897766113281,0.41597363352775574,9.720210075378418
163,287,6,91.89250946044922,964.9317626953125,10.500657435094007,10.465927124023438,0.42551031708717346,9.736973762512207
163,287,7,101.00829315185547,994.94384765625,9.850120387248355,9.669717788696289,0.4348534047603607,9.973674774169922
